"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120688","purchase monitor","chromium","2026-06-08","broken","2026-06-08","","purchaseMonitor.spec.js","",""
"","38771","Add purchase details","chromium","2026-06-08","passed","2026-06-08","","itemAddtoCart.spec.js","",""
